sound_map,pc_1based,midi_program_0based,drum_set_name,midi_note,manual_region,gm_core_35_81,raw_label,resolved_name,inherited_from_pc1,no_sound,exc_group,two_voice,rnd,left_marker,source_manual_page,source_status
SC-8820,1,0,STANDARD 1,15,extended_0_21_95_127,False,TR-909 Kick,TR-909 Kick,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,16,extended_0_21_95_127,False,Dance Kick,Dance Kick,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,17,extended_0_21_95_127,False,Voice One,Voice One,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,18,extended_0_21_95_127,False,Voice Two,Voice Two,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,19,extended_0_21_95_127,False,Voice Three,Voice Three,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,20,extended_0_21_95_127,False,Room Kick 2,Room Kick 2,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,21,extended_0_21_95_127,False,Room Kick 1 *,Room Kick 1,False,False,,True,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,22,main_22_94,False,MC-500 Beep 1,MC-500 Beep 1,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,23,main_22_94,False,MC-500 Beep 2,MC-500 Beep 2,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,24,main_22_94,False,Concert SD,Concert SD,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,25,main_22_94,False,Snare Roll,Snare Roll,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,26,main_22_94,False,Finger Snap 2,Finger Snap 2,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,27,main_22_94,False,High Q,High Q,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,28,main_22_94,False,Slap,Slap,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,29,main_22_94,False,Scratch Push [EXC7],Scratch Push,False,False,7,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,30,main_22_94,False,Scratch Pull [EXC7],Scratch Pull,False,False,7,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,31,main_22_94,False,Sticks,Sticks,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,32,main_22_94,False,Square Click,Square Click,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,33,main_22_94,False,Metronome Click,Metronome Click,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,34,main_22_94,False,Metronome Bell,Metronome Bell,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,35,main_22_94,True,Standard 1 Kick 2 *,Standard 1 Kick 2,False,False,,True,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,36,main_22_94,True,Standard 1 Kick 1 *,Standard 1 Kick 1,False,False,,True,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,37,main_22_94,True,Side Stick,Side Stick,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,38,main_22_94,True,Standard 1 Snare 1 *,Standard 1 Snare 1,False,False,,True,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,39,main_22_94,True,TR-909 Hand Clap,TR-909 Hand Clap,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,40,main_22_94,True,Standard 1 Snare 2,Standard 1 Snare 2,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,41,main_22_94,True,Low Tom 2,Low Tom 2,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,42,main_22_94,True,Closed Hi-Hat 1 [EXC1],Closed Hi-Hat 1,False,False,1,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,43,main_22_94,True,Low Tom 1,Low Tom 1,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,44,main_22_94,True,Pedal Hi-Hat [EXC1],Pedal Hi-Hat,False,False,1,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,45,main_22_94,True,Mid Tom 2,Mid Tom 2,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,46,main_22_94,True,Open Hi-Hat 1 [EXC1],Open Hi-Hat 1,False,False,1,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,47,main_22_94,True,Mid Tom 1,Mid Tom 1,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,48,main_22_94,True,High Tom 2,High Tom 2,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,49,main_22_94,True,Crash Cymbal 1 *,Crash Cymbal 1,False,False,,True,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,50,main_22_94,True,High Tom 1,High Tom 1,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,51,main_22_94,True,Ride Cymbal 1,Ride Cymbal 1,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,52,main_22_94,True,Chinese Cymbal,Chinese Cymbal,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,53,main_22_94,True,Ride Bell,Ride Bell,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,54,main_22_94,True,Tambourine,Tambourine,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,55,main_22_94,True,Splash Cymbal,Splash Cymbal,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,56,main_22_94,True,Cowbell,Cowbell,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,57,main_22_94,True,Crash Cymbal 2,Crash Cymbal 2,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,58,main_22_94,True,Vibra-slap,Vibra-slap,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,59,main_22_94,True,Ride Cymbal 2,Ride Cymbal 2,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,60,main_22_94,True,High Bongo,High Bongo,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,61,main_22_94,True,Low Bongo,Low Bongo,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,62,main_22_94,True,Mute High Conga,Mute High Conga,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,63,main_22_94,True,Open High Conga,Open High Conga,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,64,main_22_94,True,Low Conga,Low Conga,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,65,main_22_94,True,High Timbale,High Timbale,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,66,main_22_94,True,Low Timbale,Low Timbale,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,67,main_22_94,True,High Agogo,High Agogo,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,68,main_22_94,True,Low Agogo,Low Agogo,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,69,main_22_94,True,Cabasa,Cabasa,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,70,main_22_94,True,Maracas,Maracas,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,71,main_22_94,True,Short High Whistle [EXC2],Short High Whistle,False,False,2,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,72,main_22_94,True,Long Low Whistle [EXC2],Long Low Whistle,False,False,2,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,73,main_22_94,True,Short Guiro [EXC3],Short Guiro,False,False,3,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,74,main_22_94,True,Long Guiro [EXC3],Long Guiro,False,False,3,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,75,main_22_94,True,Claves,Claves,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,76,main_22_94,True,High Wood Block,High Wood Block,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,77,main_22_94,True,Low Wood Block,Low Wood Block,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,78,main_22_94,True,Mute Cuica [EXC4],Mute Cuica,False,False,4,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,79,main_22_94,True,Open Cuica [EXC4],Open Cuica,False,False,4,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,80,main_22_94,True,Mute Triangle [EXC5],Mute Triangle,False,False,5,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,81,main_22_94,True,Open Triangle [EXC5],Open Triangle,False,False,5,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,82,main_22_94,False,Shaker,Shaker,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,83,main_22_94,False,Jingle Bell,Jingle Bell,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,84,main_22_94,False,Bell Tree,Bell Tree,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,85,main_22_94,False,Castanets,Castanets,False,False,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,86,main_22_94,False,Mute Surdo [EXC6],Mute Surdo,False,False,6,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,87,main_22_94,False,Open Surdo [EXC6],Open Surdo,False,False,6,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,88,main_22_94,False,Applause 2 *,Applause 2,False,False,,True,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,89,main_22_94,False,---,,False,True,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,90,main_22_94,False,---,,False,True,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,91,main_22_94,False,---,,False,True,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,92,main_22_94,False,---,,False,True,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,93,main_22_94,False,---,,False,True,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,94,main_22_94,False,---,,False,True,,False,False,False,65,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,95,extended_0_21_95_127,False,Room Snare 1,Room Snare 1,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,96,extended_0_21_95_127,False,Room Snare 2,Room Snare 2,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,97,extended_0_21_95_127,False,Standard 1 Snare1,Standard 1 Snare1,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,98,extended_0_21_95_127,False,Standard 1 Snare 2,Standard 1 Snare 2,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,99,extended_0_21_95_127,False,Standard 2 Snare 1,Standard 2 Snare 1,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,100,extended_0_21_95_127,False,Standard 2 Snare 2,Standard 2 Snare 2,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,101,extended_0_21_95_127,False,Snare Drum 2,Snare Drum 2,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,102,extended_0_21_95_127,False,Standard 1 Snare 1,Standard 1 Snare 1,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,103,extended_0_21_95_127,False,Standard 1 Snare 2,Standard 1 Snare 2,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,104,extended_0_21_95_127,False,Standard 1 Snare 3,Standard 1 Snare 3,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,105,extended_0_21_95_127,False,Jazz Snare 1,Jazz Snare 1,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,106,extended_0_21_95_127,False,Jazz Snare 2,Jazz Snare 2,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,107,extended_0_21_95_127,False,Room Snare 1,Room Snare 1,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,108,extended_0_21_95_127,False,Room Snare 2,Room Snare 2,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,109,extended_0_21_95_127,False,Power Snare 1,Power Snare 1,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,110,extended_0_21_95_127,False,Power Snare 2,Power Snare 2,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,111,extended_0_21_95_127,False,Gated Snare,Gated Snare,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,112,extended_0_21_95_127,False,Dance Snare 1,Dance Snare 1,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,113,extended_0_21_95_127,False,Dance Snare 2,Dance Snare 2,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,114,extended_0_21_95_127,False,Disco Snare,Disco Snare,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,115,extended_0_21_95_127,False,Electric Snare 2,Electric Snare 2,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,116,extended_0_21_95_127,False,Electric Snare,Electric Snare,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,117,extended_0_21_95_127,False,Electric Snare 3 *,Electric Snare 3,False,False,,True,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,118,extended_0_21_95_127,False,TR-707 Snare 1,TR-707 Snare 1,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,119,extended_0_21_95_127,False,TR-808 Snare 1,TR-808 Snare 1,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,120,extended_0_21_95_127,False,TR-808 Snare 2 *,TR-808 Snare 2,False,False,,True,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,121,extended_0_21_95_127,False,TR-909 Snare 1,TR-909 Snare 1,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,122,extended_0_21_95_127,False,TR-909 Snare 2 *,TR-909 Snare 2,False,False,,True,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,123,extended_0_21_95_127,False,Rap Snare,Rap Snare,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,124,extended_0_21_95_127,False,Jungle Snare 1,Jungle Snare 1,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,125,extended_0_21_95_127,False,House Snare 1,House Snare 1,False,False,,False,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
SC-8820,1,0,STANDARD 1,126,extended_0_21_95_127,False,House Snare *,House Snare,False,False,,True,False,False,73,VERIFIED_FROM_OFFICIAL_MANUAL_TEXT_AND_USER_COLUMN_IMAGES
